Date,Asset,Buy Date, Sell Date,Buy Price,Sell Price,Profit,Profit %
Apr/17/2018 9:00:08 PM,XVGBTC,Apr/17/2018 8:48:46 PM,Apr/17/2018 9:00:08 PM,9.19E-6,9.17E-6,-1.999999999999981E-8,-0.21762785636561272
Apr/17/2018 9:30:13 PM,XVGBTC,Apr/17/2018 9:30:13 PM,Apr/17/2018 9:00:08 PM,9.16E-6,9.17E-6,-1.999999999999981E-8,-0.21762785636561272
Apr/17/2018 9:45:25 PM,ADABTC,Apr/17/2018 9:30:13 PM,Apr/17/2018 9:45:25 PM,9.16E-6,3.105E-5,2.1890000000000002E-5,238.97379912663757
Apr/17/2018 9:45:28 PM,GRSBTC,Apr/17/2018 9:45:28 PM,Apr/17/2018 9:45:25 PM,1.803E-4,3.105E-5,2.1890000000000002E-5,238.97379912663757
Apr/17/2018 10:30:18 PM,GRSBTC,Apr/17/2018 9:45:28 PM,Apr/17/2018 10:30:18 PM,1.803E-4,1.7502E-4,-5.280000000000004E-6,-2.928452579034944
Apr/17/2018 10:45:21 PM,ADABTC,Apr/17/2018 10:45:21 PM,Apr/17/2018 10:30:18 PM,3.139E-5,1.7502E-4,-5.280000000000004E-6,-2.928452579034944
Apr/17/2018 11:15:18 PM,GRSBTC,Apr/17/2018 11:15:18 PM,Apr/17/2018 10:30:18 PM,1.815E-4,1.7502E-4,-5.280000000000004E-6,-2.928452579034944
Apr/17/2018 11:15:18 PM,GRSBTC,Apr/17/2018 11:15:18 PM,Apr/17/2018 10:30:18 PM,1.815E-4,1.7502E-4,-5.280000000000004E-6,-2.928452579034944
Apr/17/2018 11:30:19 PM,ADABTC,Apr/17/2018 11:15:18 PM,Apr/17/2018 11:30:19 PM,1.815E-4,3.12E-5,-1.503E-4,-82.8099173553719
